query,title,label
backend development tutorial,Top Backend Frameworks 2025,1
web development trends 2025,Top Web Development Trends 2025,1
learn python,Python Projects You Should Try in 2025,1
javascript tips and tricks,Top 10 JavaScript Tips,1
AI in education,Standup Comedy by Rahul,0
javascript tips and tricks,Advanced JS Concepts Explained,1
react vs angular,Cute Cat Compilation,0
AI in education,How Schools Are Using Artificial Intelligence,1
machine learning projects,Beginner-Friendly Machine Learning Projects,1
react vs angular,React vs Angular - Which to Learn?,1
learn python,K-Pop Music Video,0
javascript tips and tricks,Cute Cat Compilation,0
flutter vs react native,Cute Cat Compilation,0
machine learning projects,Cooking Butter Chicken at Home,0
backend development tutorial,Cute Cat Compilation,0
flutter vs react native,Cricket Match Highlights,0
mobile app ideas,Profitable Mobile App Ideas in 2025,1
mobile app ideas,Cute Cat Compilation,0
javascript tips and tricks,Advanced JS Concepts Explained,1
frontend developer roadmap,Frontend Developer Roadmap 2025,1
mobile app ideas,Web vs Mobile - Which to Choose,1
javascript tips and tricks,How to Write Cleaner JS Code,1
mobile app ideas,Top 10 TikTok Dances,0
frontend developer roadmap,Frontend Developer Roadmap 2025,1
javascript tips and tricks,How to Write Cleaner JS Code,1
web development trends 2025,Live Concert by Arijit Singh,0
javascript tips and tricks,JavaScript Performance Optimization,1
AI in education,How Schools Are Using Artificial Intelligence,1
backend development tutorial,Backend Development Tutorial for Beginners,1
react vs angular,K-Pop Music Video,0
mobile app ideas,Simple App Ideas for Students,1
javascript tips and tricks,Luxury Cars of 2025,0
react vs angular,React vs Angular: 2025 Update,1
backend development tutorial,Try Not To Laugh Challenge,0
backend development tutorial,Live Concert by Arijit Singh,0
web development trends 2025,Try Not To Laugh Challenge,0
flutter vs react native,Luxury Cars of 2025,0
flutter vs react native,Flutter vs React Native - Full Comparison,1
flutter vs react native,Cricket Match Highlights,0
backend development tutorial,Node.js Crash Course,1
react vs angular,Cooking Butter Chicken at Home,0
javascript tips and tricks,Cooking Butter Chicken at Home,0
react vs angular,Why React is Still Relevant,1
learn python,10 Common Python Mistakes,1
react vs angular,Pros and Cons of React and Angular,1
web development trends 2025,React 19: What's New in 2025,1
machine learning projects,Beginner-Friendly Machine Learning Projects,1
flutter vs react native,Luxury Cars of 2025,0
flutter vs react native,React Native vs Flutter: Performance,1
mobile app ideas,K-Pop Music Video,0
javascript tips and tricks,How to Write Cleaner JS Code,1
machine learning projects,"Mr Beast’s $1,000,000 Challenge",0
backend development tutorial,Backend Development Tutorial for Beginners,1
backend development tutorial,Try Not To Laugh Challenge,0
machine learning projects,Cricket Match Highlights,0
javascript tips and tricks,K-Pop Music Video,0
react vs angular,Try Not To Laugh Challenge,0
frontend developer roadmap,Important Frontend Tools in 2025,1
javascript tips and tricks,Luxury Cars of 2025,0
web development trends 2025,Top 10 Web Dev Skills for 2025,1
web development trends 2025,Modern Frontend Frameworks Compared,1
learn python,10 Common Python Mistakes,1
web development trends 2025,K-Pop Music Video,0
frontend developer roadmap,Standup Comedy by Rahul,0
frontend developer roadmap,Cooking Butter Chicken at Home,0
mobile app ideas,Simple App Ideas for Students,1
backend development tutorial,Node.js Crash Course,1
web development trends 2025,Top 10 TikTok Dances,0
AI in education,Cricket Match Highlights,0
AI in education,How AI is Transforming Education,1
web development trends 2025,K-Pop Music Video,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
machine learning projects,Top 10 Machine Learning Projects,1
javascript tips and tricks,How to Write Cleaner JS Code,1
flutter vs react native,React Native vs Flutter: Performance,1
frontend developer roadmap,Cricket Match Highlights,0
mobile app ideas,Web vs Mobile - Which to Choose,1
react vs angular,Standup Comedy by Rahul,0
backend development tutorial,How Databases Work in Web Development,1
web development trends 2025,HTML & CSS Login Page Design Tutorial,1
frontend developer roadmap,Try Not To Laugh Challenge,0
learn python,Python Projects You Should Try in 2025,1
machine learning projects,Cooking Butter Chicken at Home,0
learn python,Python Projects You Should Try in 2025,1
machine learning projects,Deploying ML Models with Flask,1
flutter vs react native,Try Not To Laugh Challenge,0
flutter vs react native,Top 10 TikTok Dances,0
frontend developer roadmap,"Mr Beast’s $1,000,000 Challenge",0
backend development tutorial,Build an API with Django,1
AI in education,Luxury Cars of 2025,0
backend development tutorial,Standup Comedy by Rahul,0
web development trends 2025,Cute Cat Compilation,0
mobile app ideas,10 App Ideas for Beginners,1
backend development tutorial,K-Pop Music Video,0
javascript tips and tricks,Top 10 JavaScript Tips,1
react vs angular,Top 10 TikTok Dances,0
mobile app ideas,Simple App Ideas for Students,1
flutter vs react native,Try Not To Laugh Challenge,0
learn python,Learn Python - Full Course for Beginners,1
flutter vs react native,Live Concert by Arijit Singh,0
backend development tutorial,Cricket Match Highlights,0
mobile app ideas,Profitable Mobile App Ideas in 2025,1
mobile app ideas,Cute Cat Compilation,0
flutter vs react native,Cooking Butter Chicken at Home,0
backend development tutorial,Top Backend Frameworks 2025,1
learn python,10 Common Python Mistakes,1
machine learning projects,Classification vs Regression Projects,1
backend development tutorial,How Databases Work in Web Development,1
flutter vs react native,Cute Cat Compilation,0
frontend developer roadmap,Important Frontend Tools in 2025,1
web development trends 2025,React 19: What's New in 2025,1
mobile app ideas,Live Concert by Arijit Singh,0
backend development tutorial,Node.js Crash Course,1
web development trends 2025,Top 10 Web Dev Skills for 2025,1
learn python,K-Pop Music Video,0
javascript tips and tricks,Lesser Known JavaScript Tricks,1
learn python,10 Common Python Mistakes,1
AI in education,Cooking Butter Chicken at Home,0
mobile app ideas,10 App Ideas for Beginners,1
machine learning projects,ML Projects for Resume 2025,1
learn python,Top 10 TikTok Dances,0
learn python,Data Types in Python Explained,1
react vs angular,Cute Cat Compilation,0
mobile app ideas,Luxury Cars of 2025,0
frontend developer roadmap,Cooking Butter Chicken at Home,0
learn python,Python vs Java - Which Should You Learn?,1
flutter vs react native,React Native vs Flutter: Performance,1
frontend developer roadmap,"HTML, CSS & JS Roadmap",1
react vs angular,Why React is Still Relevant,1
learn python,"Mr Beast’s $1,000,000 Challenge",0
machine learning projects,Cooking Butter Chicken at Home,0
machine learning projects,Deploying ML Models with Flask,1
web development trends 2025,Top Web Development Trends 2025,1
frontend developer roadmap,React and Vue for Beginners,1
machine learning projects,Classification vs Regression Projects,1
learn python,Learn Python - Full Course for Beginners,1
backend development tutorial,Backend Development Tutorial for Beginners,1
learn python,Python vs Java - Which Should You Learn?,1
flutter vs react native,Cute Cat Compilation,0
mobile app ideas,Simple App Ideas for Students,1
flutter vs react native,"Mr Beast’s $1,000,000 Challenge",0
mobile app ideas,Simple App Ideas for Students,1
machine learning projects,Luxury Cars of 2025,0
AI in education,Luxury Cars of 2025,0
AI in education,Luxury Cars of 2025,0
flutter vs react native,Flutter Advantages for Cross-Platform Dev,1
web development trends 2025,Modern Frontend Frameworks Compared,1
web development trends 2025,Top 10 TikTok Dances,0
web development trends 2025,Cooking Butter Chicken at Home,0
mobile app ideas,Cute Cat Compilation,0
react vs angular,Why React is Still Relevant,1
backend development tutorial,Backend Development Tutorial for Beginners,1
frontend developer roadmap,Try Not To Laugh Challenge,0
backend development tutorial,Backend Development Tutorial for Beginners,1
mobile app ideas,Simple App Ideas for Students,1
AI in education,Luxury Cars of 2025,0
react vs angular,Pros and Cons of React and Angular,1
backend development tutorial,How Databases Work in Web Development,1
javascript tips and tricks,Advanced JS Concepts Explained,1
javascript tips and tricks,How to Write Cleaner JS Code,1
backend development tutorial,Cooking Butter Chicken at Home,0
react vs angular,Cute Cat Compilation,0
react vs angular,React vs Angular: 2025 Update,1
AI in education,How AI is Transforming Education,1
frontend developer roadmap,Cricket Match Highlights,0
mobile app ideas,Cooking Butter Chicken at Home,0
AI in education,AI and the Future of Learning,1
AI in education,Cricket Match Highlights,0
backend development tutorial,Top Backend Frameworks 2025,1
web development trends 2025,Top 10 TikTok Dances,0
mobile app ideas,Luxury Cars of 2025,0
learn python,K-Pop Music Video,0
react vs angular,Angular 15 Features Overview,1
web development trends 2025,Top 10 Web Dev Skills for 2025,1
web development trends 2025,Top 10 TikTok Dances,0
javascript tips and tricks,Standup Comedy by Rahul,0
react vs angular,Standup Comedy by Rahul,0
mobile app ideas,Live Concert by Arijit Singh,0
AI in education,GPT-5 Explained with Use Cases,1
learn python,Top 10 TikTok Dances,0
machine learning projects,ML Projects for Resume 2025,1
backend development tutorial,Live Concert by Arijit Singh,0
javascript tips and tricks,How to Write Cleaner JS Code,1
machine learning projects,Live Concert by Arijit Singh,0
backend development tutorial,Top Backend Frameworks 2025,1
backend development tutorial,How Databases Work in Web Development,1
web development trends 2025,Live Concert by Arijit Singh,0
react vs angular,Angular 15 Features Overview,1
machine learning projects,ML Projects for Resume 2025,1
learn python,Learn Python - Full Course for Beginners,1
react vs angular,Why React is Still Relevant,1
javascript tips and tricks,Top 10 JavaScript Tips,1
react vs angular,Why React is Still Relevant,1
backend development tutorial,Node.js Crash Course,1
learn python,Cooking Butter Chicken at Home,0
learn python,"Mr Beast’s $1,000,000 Challenge",0
flutter vs react native,Mobile Frameworks for 2025,1
web development trends 2025,Modern Frontend Frameworks Compared,1
mobile app ideas,Simple App Ideas for Students,1
mobile app ideas,Web vs Mobile - Which to Choose,1
backend development tutorial,Build an API with Django,1
flutter vs react native,"Mr Beast’s $1,000,000 Challenge",0
mobile app ideas,Cricket Match Highlights,0
flutter vs react native,Flutter Advantages for Cross-Platform Dev,1
flutter vs react native,Which is Better: Flutter or React Native?,1
frontend developer roadmap,Live Concert by Arijit Singh,0
learn python,Top 10 TikTok Dances,0
web development trends 2025,HTML & CSS Login Page Design Tutorial,1
machine learning projects,K-Pop Music Video,0
javascript tips and tricks,Try Not To Laugh Challenge,0
frontend developer roadmap,"HTML, CSS & JS Roadmap",1
react vs angular,React vs Angular - Which to Learn?,1
machine learning projects,Luxury Cars of 2025,0
learn python,Try Not To Laugh Challenge,0
backend development tutorial,Top Backend Frameworks 2025,1
javascript tips and tricks,Top 10 JavaScript Tips,1
backend development tutorial,Backend Development Tutorial for Beginners,1
learn python,Standup Comedy by Rahul,0
frontend developer roadmap,Important Frontend Tools in 2025,1
backend development tutorial,Try Not To Laugh Challenge,0
machine learning projects,ML Projects for Resume 2025,1
backend development tutorial,Backend Development Tutorial for Beginners,1
flutter vs react native,K-Pop Music Video,0
frontend developer roadmap,Top 10 TikTok Dances,0
backend development tutorial,K-Pop Music Video,0
frontend developer roadmap,Cooking Butter Chicken at Home,0
frontend developer roadmap,Frontend Developer Roadmap 2025,1
backend development tutorial,Backend Development Tutorial for Beginners,1
backend development tutorial,"Mr Beast’s $1,000,000 Challenge",0
backend development tutorial,How Databases Work in Web Development,1
mobile app ideas,Profitable Mobile App Ideas in 2025,1
AI in education,GPT-5 Explained with Use Cases,1
learn python,Standup Comedy by Rahul,0
react vs angular,Cute Cat Compilation,0
backend development tutorial,Backend Development Tutorial for Beginners,1
AI in education,Luxury Cars of 2025,0
flutter vs react native,Which is Better: Flutter or React Native?,1
learn python,Learn Python - Full Course for Beginners,1
frontend developer roadmap,Important Frontend Tools in 2025,1
javascript tips and tricks,JavaScript Performance Optimization,1
frontend developer roadmap,Cooking Butter Chicken at Home,0
learn python,Luxury Cars of 2025,0
frontend developer roadmap,Try Not To Laugh Challenge,0
flutter vs react native,Mobile Frameworks for 2025,1
react vs angular,K-Pop Music Video,0
frontend developer roadmap,Frontend Developer Roadmap 2025,1
javascript tips and tricks,Top 10 JavaScript Tips,1
learn python,Data Types in Python Explained,1
javascript tips and tricks,JavaScript Performance Optimization,1
react vs angular,React vs Angular - Which to Learn?,1
AI in education,K-Pop Music Video,0
AI in education,Try Not To Laugh Challenge,0
flutter vs react native,Top 10 TikTok Dances,0
mobile app ideas,Profitable Mobile App Ideas in 2025,1
frontend developer roadmap,Cooking Butter Chicken at Home,0
frontend developer roadmap,Luxury Cars of 2025,0
mobile app ideas,How to Validate Your App Idea,1
mobile app ideas,Profitable Mobile App Ideas in 2025,1
machine learning projects,Luxury Cars of 2025,0
learn python,10 Common Python Mistakes,1
AI in education,Cooking Butter Chicken at Home,0
machine learning projects,Deploying ML Models with Flask,1
mobile app ideas,Standup Comedy by Rahul,0
AI in education,Try Not To Laugh Challenge,0
machine learning projects,Standup Comedy by Rahul,0
javascript tips and tricks,Cute Cat Compilation,0
javascript tips and tricks,How to Write Cleaner JS Code,1
AI in education,AI and the Future of Learning,1
learn python,10 Common Python Mistakes,1
machine learning projects,ML Projects for Resume 2025,1
react vs angular,Pros and Cons of React and Angular,1
frontend developer roadmap,React and Vue for Beginners,1
learn python,Cricket Match Highlights,0
frontend developer roadmap,Luxury Cars of 2025,0
machine learning projects,Top 10 Machine Learning Projects,1
web development trends 2025,Top Web Development Trends 2025,1
react vs angular,Angular 15 Features Overview,1
AI in education,GPT-5 Explained with Use Cases,1
web development trends 2025,Top 10 Web Dev Skills for 2025,1
flutter vs react native,Cute Cat Compilation,0
AI in education,Top 5 AI Tools for Teachers,1
backend development tutorial,Backend Development Tutorial for Beginners,1
react vs angular,Why React is Still Relevant,1
web development trends 2025,Standup Comedy by Rahul,0
AI in education,Top 5 AI Tools for Teachers,1
AI in education,GPT-5 Explained with Use Cases,1
flutter vs react native,Cooking Butter Chicken at Home,0
javascript tips and tricks,Live Concert by Arijit Singh,0
javascript tips and tricks,Cute Cat Compilation,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
web development trends 2025,Top 10 Web Dev Skills for 2025,1
react vs angular,Angular 15 Features Overview,1
machine learning projects,Top 10 Machine Learning Projects,1
machine learning projects,K-Pop Music Video,0
backend development tutorial,K-Pop Music Video,0
mobile app ideas,How to Validate Your App Idea,1
frontend developer roadmap,Important Frontend Tools in 2025,1
javascript tips and tricks,Lesser Known JavaScript Tricks,1
learn python,Live Concert by Arijit Singh,0
web development trends 2025,Top 10 Web Dev Skills for 2025,1
machine learning projects,Live Concert by Arijit Singh,0
machine learning projects,Try Not To Laugh Challenge,0
react vs angular,Angular 15 Features Overview,1
flutter vs react native,Luxury Cars of 2025,0
machine learning projects,Classification vs Regression Projects,1
react vs angular,React vs Angular - Which to Learn?,1
learn python,Standup Comedy by Rahul,0
backend development tutorial,Build an API with Django,1
learn python,Python Projects You Should Try in 2025,1
flutter vs react native,Flutter Advantages for Cross-Platform Dev,1
javascript tips and tricks,"Mr Beast’s $1,000,000 Challenge",0
web development trends 2025,Cooking Butter Chicken at Home,0
frontend developer roadmap,Cute Cat Compilation,0
javascript tips and tricks,K-Pop Music Video,0
web development trends 2025,Top Web Development Trends 2025,1
web development trends 2025,React 19: What's New in 2025,1
web development trends 2025,HTML & CSS Login Page Design Tutorial,1
learn python,Learn Python - Full Course for Beginners,1
AI in education,Standup Comedy by Rahul,0
javascript tips and tricks,Cute Cat Compilation,0
react vs angular,Luxury Cars of 2025,0
react vs angular,Luxury Cars of 2025,0
web development trends 2025,React 19: What's New in 2025,1
machine learning projects,Cute Cat Compilation,0
learn python,10 Common Python Mistakes,1
learn python,Standup Comedy by Rahul,0
javascript tips and tricks,Luxury Cars of 2025,0
learn python,10 Common Python Mistakes,1
flutter vs react native,Try Not To Laugh Challenge,0
learn python,Cricket Match Highlights,0
flutter vs react native,Mobile Frameworks for 2025,1
flutter vs react native,Luxury Cars of 2025,0
flutter vs react native,React Native vs Flutter: Performance,1
flutter vs react native,Flutter vs React Native - Full Comparison,1
frontend developer roadmap,Live Concert by Arijit Singh,0
react vs angular,Cooking Butter Chicken at Home,0
machine learning projects,Luxury Cars of 2025,0
javascript tips and tricks,Standup Comedy by Rahul,0
learn python,Data Types in Python Explained,1
frontend developer roadmap,Cricket Match Highlights,0
backend development tutorial,Try Not To Laugh Challenge,0
AI in education,Cricket Match Highlights,0
react vs angular,K-Pop Music Video,0
javascript tips and tricks,Lesser Known JavaScript Tricks,1
mobile app ideas,Live Concert by Arijit Singh,0
mobile app ideas,Cooking Butter Chicken at Home,0
learn python,Try Not To Laugh Challenge,0
learn python,Standup Comedy by Rahul,0
AI in education,Top 5 AI Tools for Teachers,1
learn python,Top 10 TikTok Dances,0
machine learning projects,ML Projects for Resume 2025,1
web development trends 2025,Try Not To Laugh Challenge,0
learn python,10 Common Python Mistakes,1
backend development tutorial,Node.js Crash Course,1
web development trends 2025,"Mr Beast’s $1,000,000 Challenge",0
frontend developer roadmap,"Mr Beast’s $1,000,000 Challenge",0
react vs angular,React vs Angular: 2025 Update,1
react vs angular,React vs Angular: 2025 Update,1
AI in education,"Mr Beast’s $1,000,000 Challenge",0
learn python,Python vs Java - Which Should You Learn?,1
mobile app ideas,Standup Comedy by Rahul,0
AI in education,"Mr Beast’s $1,000,000 Challenge",0
mobile app ideas,10 App Ideas for Beginners,1
web development trends 2025,Modern Frontend Frameworks Compared,1
backend development tutorial,Cooking Butter Chicken at Home,0
machine learning projects,Top 10 TikTok Dances,0
javascript tips and tricks,JavaScript Performance Optimization,1
web development trends 2025,Luxury Cars of 2025,0
javascript tips and tricks,JavaScript Performance Optimization,1
frontend developer roadmap,Important Frontend Tools in 2025,1
frontend developer roadmap,Cricket Match Highlights,0
react vs angular,Top 10 TikTok Dances,0
web development trends 2025,Top 10 Web Dev Skills for 2025,1
mobile app ideas,10 App Ideas for Beginners,1
frontend developer roadmap,How to Become a Frontend Developer,1
machine learning projects,Top 10 TikTok Dances,0
flutter vs react native,Mobile Frameworks for 2025,1
frontend developer roadmap,Cute Cat Compilation,0
mobile app ideas,Profitable Mobile App Ideas in 2025,1
backend development tutorial,K-Pop Music Video,0
mobile app ideas,How to Validate Your App Idea,1
javascript tips and tricks,JavaScript Performance Optimization,1
machine learning projects,Beginner-Friendly Machine Learning Projects,1
mobile app ideas,Cute Cat Compilation,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
flutter vs react native,Cute Cat Compilation,0
backend development tutorial,Top Backend Frameworks 2025,1
javascript tips and tricks,JavaScript Performance Optimization,1
flutter vs react native,Try Not To Laugh Challenge,0
web development trends 2025,Cooking Butter Chicken at Home,0
machine learning projects,ML Projects for Resume 2025,1
javascript tips and tricks,Cricket Match Highlights,0
mobile app ideas,Try Not To Laugh Challenge,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
mobile app ideas,How to Validate Your App Idea,1
react vs angular,Pros and Cons of React and Angular,1
web development trends 2025,Top Web Development Trends 2025,1
backend development tutorial,Build an API with Django,1
javascript tips and tricks,Top 10 JavaScript Tips,1
web development trends 2025,HTML & CSS Login Page Design Tutorial,1
learn python,Standup Comedy by Rahul,0
learn python,Live Concert by Arijit Singh,0
frontend developer roadmap,How to Become a Frontend Developer,1
flutter vs react native,Which is Better: Flutter or React Native?,1
AI in education,Top 5 AI Tools for Teachers,1
mobile app ideas,Live Concert by Arijit Singh,0
learn python,Python Projects You Should Try in 2025,1
mobile app ideas,Web vs Mobile - Which to Choose,1
web development trends 2025,Cute Cat Compilation,0
machine learning projects,Standup Comedy by Rahul,0
AI in education,Cooking Butter Chicken at Home,0
web development trends 2025,Top 10 Web Dev Skills for 2025,1
javascript tips and tricks,JavaScript Performance Optimization,1
learn python,Learn Python - Full Course for Beginners,1
web development trends 2025,Modern Frontend Frameworks Compared,1
react vs angular,Pros and Cons of React and Angular,1
learn python,Standup Comedy by Rahul,0
web development trends 2025,React 19: What's New in 2025,1
frontend developer roadmap,React and Vue for Beginners,1
backend development tutorial,Cricket Match Highlights,0
flutter vs react native,Mobile Frameworks for 2025,1
backend development tutorial,Top Backend Frameworks 2025,1
web development trends 2025,Luxury Cars of 2025,0
frontend developer roadmap,Standup Comedy by Rahul,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
mobile app ideas,Cricket Match Highlights,0
mobile app ideas,10 App Ideas for Beginners,1
mobile app ideas,10 App Ideas for Beginners,1
machine learning projects,Cooking Butter Chicken at Home,0
backend development tutorial,Backend Development Tutorial for Beginners,1
javascript tips and tricks,Luxury Cars of 2025,0
machine learning projects,Standup Comedy by Rahul,0
machine learning projects,Cricket Match Highlights,0
frontend developer roadmap,Top 10 TikTok Dances,0
machine learning projects,ML Projects for Resume 2025,1
backend development tutorial,Live Concert by Arijit Singh,0
frontend developer roadmap,React and Vue for Beginners,1
frontend developer roadmap,"HTML, CSS & JS Roadmap",1
mobile app ideas,Web vs Mobile - Which to Choose,1
flutter vs react native,Mobile Frameworks for 2025,1
javascript tips and tricks,Standup Comedy by Rahul,0
flutter vs react native,Top 10 TikTok Dances,0
javascript tips and tricks,Standup Comedy by Rahul,0
mobile app ideas,"Mr Beast’s $1,000,000 Challenge",0
flutter vs react native,Flutter vs React Native - Full Comparison,1
frontend developer roadmap,Cute Cat Compilation,0
learn python,"Mr Beast’s $1,000,000 Challenge",0
web development trends 2025,Top 10 TikTok Dances,0
react vs angular,React vs Angular: 2025 Update,1
mobile app ideas,How to Validate Your App Idea,1
learn python,Top 10 TikTok Dances,0
web development trends 2025,Top Web Development Trends 2025,1
backend development tutorial,Try Not To Laugh Challenge,0
machine learning projects,Beginner-Friendly Machine Learning Projects,1
react vs angular,K-Pop Music Video,0
react vs angular,Cooking Butter Chicken at Home,0
mobile app ideas,Cute Cat Compilation,0
javascript tips and tricks,Top 10 JavaScript Tips,1
web development trends 2025,Modern Frontend Frameworks Compared,1
flutter vs react native,Flutter Advantages for Cross-Platform Dev,1
react vs angular,Why React is Still Relevant,1
AI in education,Standup Comedy by Rahul,0
backend development tutorial,How Databases Work in Web Development,1
react vs angular,Angular 15 Features Overview,1
backend development tutorial,Cricket Match Highlights,0
web development trends 2025,React 19: What's New in 2025,1
frontend developer roadmap,Important Frontend Tools in 2025,1
mobile app ideas,"Mr Beast’s $1,000,000 Challenge",0
AI in education,How AI is Transforming Education,1
AI in education,How AI is Transforming Education,1
AI in education,Cute Cat Compilation,0
react vs angular,Why React is Still Relevant,1
backend development tutorial,Top 10 TikTok Dances,0
frontend developer roadmap,"HTML, CSS & JS Roadmap",1
flutter vs react native,Flutter vs React Native - Full Comparison,1
learn python,"Mr Beast’s $1,000,000 Challenge",0
javascript tips and tricks,Standup Comedy by Rahul,0
machine learning projects,Deploying ML Models with Flask,1
learn python,Top 10 TikTok Dances,0
machine learning projects,Top 10 Machine Learning Projects,1
javascript tips and tricks,Advanced JS Concepts Explained,1
AI in education,GPT-5 Explained with Use Cases,1
web development trends 2025,Modern Frontend Frameworks Compared,1
javascript tips and tricks,Top 10 JavaScript Tips,1
react vs angular,Standup Comedy by Rahul,0
mobile app ideas,Cricket Match Highlights,0
learn python,"Mr Beast’s $1,000,000 Challenge",0
frontend developer roadmap,React and Vue for Beginners,1
web development trends 2025,K-Pop Music Video,0
mobile app ideas,10 App Ideas for Beginners,1
react vs angular,Why React is Still Relevant,1
learn python,Python Projects You Should Try in 2025,1
javascript tips and tricks,Standup Comedy by Rahul,0
mobile app ideas,K-Pop Music Video,0
AI in education,How Schools Are Using Artificial Intelligence,1
backend development tutorial,Cooking Butter Chicken at Home,0
learn python,Standup Comedy by Rahul,0
learn python,Python Projects You Should Try in 2025,1
frontend developer roadmap,Top 10 TikTok Dances,0
web development trends 2025,HTML & CSS Login Page Design Tutorial,1
machine learning projects,"Mr Beast’s $1,000,000 Challenge",0
machine learning projects,Standup Comedy by Rahul,0
